Bacteria,Filename
Bifidobacterium bifidum NCIMB 41171,GCF_000273525.1_PB_Bifi_bifi_NCIMB_41171_V1_genomic.gbff
Bifidobacterium breve JCM 7017,GCF_000568975.1_ASM56897v1_genomic.gbff
Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,GCF_001025195.1_ASM102519v1_genomic.gbff
Bifidobacterium dentium JCM 1195 = DSM 20436,GCF_001042595.1_ASM104259v1_genomic.gbff
Bifidobacterium longum 51A,GCF_004936435.1_ASM493643v1_genomic.gbff
Bifidobacterium pseudocatenulatum 12,GCF_003952825.1_ASM395282v1_genomic.gbff
Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837,GCF_000426425.1_ASM42642v1_genomic.gbff
Bifidobacterium thermophilum 1543B,GCF_002846655.1_ASM284665v1_genomic.gbff
Brevibacillus laterosporus DSM 25,GCF_002706795.1_ASM270679v1_genomic.gbff
Butyricicoccus pullicaecorum DSM 23266,GCF_900167005.1_IMG-taxon_2585428076_annotated_assembly_genomic.gbff
Butyrivibrio fibrisolvens DSM 3071,GCF_900129945.1_IMG-taxon_2585428068_annotated_assembly_genomic.gbff
Clostridium butyricum S-45-5,GCF_003315755.1_ASM331575v1_genomic.gbff
Corynebacterium stationis 622=DSM 20302,GCF_001941345.1_ASM194134v1_genomic.gbff
Enterococcus durans 8L1-82,GCF_015230245.1_ASM1523024v1_genomic.gbff
Enterococcus faecalis EnGen0336 T5,GCF_000393015.1_Ente_faec_T5_V1_genomic.gbff
Enterococcus hirae FDAARGOS_234,GCF_002278015.2_ASM227801v2_genomic.gbff
Enterococcus mundtii DSM 4838,GCF_002813755.1_ASM281375v1_genomic.gbff
Escherichia coli str. K-12 substr. MG1655,GCF_000005845.2_ASM584v2_genomic.gbff
Faecalibacterium prausnitzii APC918,GCF_003312465.1_ASM331246v1_genomic.gbff
Janthinobacterium lividum EIF1,GCF_013372045.1_ASM1337204v1_genomic.gbff
Lactobacillus amylolyticus L5,GCF_003999355.1_ASM399935v1_genomic.gbff
Lactobacillus amylovorus S60,GCF_005049155.1_ASM504915v1_genomic.gbff
Levilactobacillus brevis NCTC13768,GCF_900475625.1_45709_F01_genomic.gbff
Lentilactobacillus buchneri S45,GCF_005047285.1_ASM504728v1_genomic.gbff
Lactobacillus casei DSM 20011 = JCM 1134 = ATCC 393,GCF_000829055.1_ASM82905v1_genomic.gbff
Secundilactobacillus collinoides 237,GCF_001623425.1_ASM162342v1_genomic.gbff
Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001,GCF_002706425.1_ASM270642v1_genomic.gbff
Lactobacillus crispatus 125-2-CHN,GCF_000162255.1_ASM16225v1_genomic.gbff
Companilactobacillus crustorum MN047,GCF_001951175.1_ASM195117v1_genomic.gbff
Lactobacillus delbrueckii subsp. delbrueckii NBRC 3202,GCF_006740305.1_ASM674030v1_genomic.gbff
Limosilactobacillus fermentum NBRC 3959,GCF_006538825.1_ASM653882v1_genomic.gbff
Lactobacillus gasseri ATCC 33323 = JCM 1131,GCF_000014425.1_ASM1442v1_genomic.gbff
Lactobacillus helveticus FAM8627,GCF_002849915.1_ASM284991v1_genomic.gbff
Lactobacillus iners LEAF 2052A-d,GCF_000179955.1_ASM17995v1_genomic.gbff
Lactobacillus ingluviei DSM 15946,GCF_001435775.1_ASM143577v1_genomic.gbff
Lactobacillus jensenii SNUV360,GCF_001936235.1_ASM193623v1_genomic.gbff
Lactobacillus johnsonii LJ0,GCF_002156645.1_ASM215664v1_genomic.gbff
Lactobacillus kefiranofaciens 1207,GCF_014656585.1_ASM1465658v1_genomic.gbff
Lentilactobacillus kefiri DH5,GCF_009739535.1_ASM973953v1_genomic.gbff
Limosilactobacillus mucosae LM011,GCF_014898655.1_ASM1489865v1_genomic.gbff
Lactobacillus oris F0423,GCF_000221505.1_ASM22150v2_genomic.gbff
Lacticaseibacillus paracasei Zhang,GCF_000019245.4_ASM1924v3_genomic.gbff
Lentilactobacillus parakefiri KR,GCF_002276885.1_ASM227688v1_genomic.gbff
Lactiplantibacillus paraplantarum DSM 10667,GCF_003641145.1_ASM364114v1_genomic.gbff
Lactiplantibacillus pentosus DSM 20314,GCF_003641185.1_ASM364118v1_genomic.gbff
Lactiplantibacillus plantarum SK151,GCF_003269405.1_ASM326940v1_genomic.gbff
Limosilactobacillus reuteri TK-F8A,GCF_015377805.1_ASM1537780v1_genomic.gbff
Lacticaseibacillus rhamnosus UMB0004,GCF_002848015.1_ASM284801v1_genomic.gbff
Lactobacillus ruminis ATCC 25644,GCF_000159375.2_ASM15937v2_genomic.gbff
Latilactobacillus sakei CBA3614,GCF_009676365.1_ASM967636v1_genomic.gbff
Lactobacillus suebicus DSM 5007 = KCTC 3549,GCF_001434475.1_ASM143447v1_genomic.gbff
Lactococcus lactis subsp. cremoris KW2,GCF_000468955.1_ASM46895v1_genomic.gbff
Leuconostoc lactis CCK940,GCF_002287365.1_ASM228736v1_genomic.gbff
Leuconostoc mesenteroides SRCM102733,GCF_009913915.1_ASM991391v1_genomic.gbff
Oenococcus oeni UBOCC-A-315001,GCF_002966535.1_ASM296653v1_genomic.gbff
Oxalobacter formigenes HC-1,GCF_002127965.1_ASM212796v1_genomic.gbff
Paenibacillus polymyxa CF05,GCF_000785455.1_ASM78545v1_genomic.gbff
Paracoccus denitrificans ATCC 19367,GCF_004063735.1_ASM406373v1_genomic.gbff
Pediococcus acidilactici PMC65,GCF_013127755.1_ASM1312775v1_genomic.gbff
Pediococcus parvulus NBRC 100673,GCF_007990205.1_ASM799020v1_genomic.gbff
Pediococcus pentosaceus ATCC 25745,GCF_000014505.1_ASM1450v1_genomic.gbff
Acidipropionibacterium acidipropionici WSH1105,GCF_001975205.1_ASM197520v1_genomic.gbff
Propionibacterium freudenreichii subsp. Freudenreichii DSM 20271,GCF_000940845.1_ASM94084v1_genomic.gbff
Acidipropionibacterium jensenii FAM 19038,GCF_005890135.1_ASM589013v1_genomic.gbff
Acidipropionibacterium thoenii DSM 20276,GCF_000423445.1_ASM42344v1_genomic.gbff
Pseudomonas fluorescens ATCC 13525,GCF_900215245.1_IMG-taxon_2617270901_annotated_assembly_genomic.gbff
Caballeronia glathei BCC0772,GCF_902833485.1_ASM90283348v1_genomic.gbff
Roseburia inulinivorans DSM 16841,GCF_000174195.1_ASM17419v1_genomic.gbff
Staphylococcus succinus 14BME20,GCF_001902315.1_ASM190231v1_genomic.gbff
Streptococcus oralis ATCC 35037 strain NCTC 11427,GCF_900637025.1_46338_H01_genomic.gbff
Streptococcus ratti ATCC 31377,GCF_008803015.1_ASM880301v1_genomic.gbff
Streptococcus salivarius ATCC 25975,GCF_002094975.1_ASM209497v1_genomic.gbff
Streptococcus thermophilus JIM 8232,GCF_000253395.1_ASM25339v1_genomic.gbff
Streptococcus uberis NCTC4672,GCF_014655195.1_ASM1465519v1_genomic.gbff
Streptomyces cellulosae JCM 4462,GCF_014655195.1_ASM1465519v1_genomic.gbff
Tetragenococcus halophilus NBRC 12172,GCF_000283615.1_ASM28361v1_genomic.gbff
Weissella confusa VTT E-133279,GCF_004771075.1_ASM477107v1_genomic.gbff
Weissella koreensis KCTC 3621,GCF_000277645.1_ASM27764v1_genomic.gbff
